Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls .1,Ast .1,G+A .1,G-PK .1,G+A-PK,xG .1,xAG .1,xG+xAG,npxG .1,npxG+xAG .1,Matches,Team
[Mohamed Salah](https://fbref.com/en/players/e342ad68/Mohamed-Salah), [eg EGY](https://fbref.com/en/country/EGY/Egypt-Football), FW,32,38,38," 3,371", 37.5, 29, 18, 47, 20, 9, 9, 1, 0, 25.2, 18.2, 14.2, 32.4, 154, 144, 488, 0.77, 0.48, 1.25, 0.53, 1.01, 0.67, 0.38, 1.05, 0.49, 0.87, [Matches](https://fbref.com/en/players/e342ad68/matchlogs/2024-2025/summary/Mohamed-Salah-Match-Logs)  ,Liverpool
[Virgil van Dijk](https://fbref.com/en/players/e06683ca/Virgil-van-Dijk), [nl NED](https://fbref.com/en/country/NED/Netherlands-Football), DF,33,37,37," 3,330", 37.0, 3, 1, 4, 3, 0, 0, 5, 0, 2.2, 2.2, 0.7, 3.0, 22, 198, 6, 0.08, 0.03, 0.11, 0.08, 0.11, 0.06, 0.02, 0.08, 0.06, 0.08, [Matches](https://fbref.com/en/players/e06683ca/matchlogs/2024-2025/summary/Virgil-van-Dijk-Match-Logs)  ,Liverpool
[Ryan Gravenberch](https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch), [nl NED](https://fbref.com/en/country/NED/Netherlands-Football), MF,22,37,37," 3,160", 35.1, 0, 4, 4, 0, 0, 0, 6, 1, 1.1, 1.1, 3.1, 4.2, 70, 181, 55, 0.00, 0.11, 0.11, 0.00, 0.11, 0.03, 0.09, 0.12, 0.03, 0.12, [Matches](https://fbref.com/en/players/b8e740fb/matchlogs/2024-2025/summary/Ryan-Gravenberch-Match-Logs)  ,Liverpool
[Alexis Mac Allister](https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister), [ar ARG](https://fbref.com/en/country/ARG/Argentina-Football), MF,25,35,30," 2,599", 28.9, 5, 5, 10, 5, 0, 0, 6, 0, 2.8, 2.8, 4.7, 7.5, 36, 177, 80, 0.17, 0.17, 0.35, 0.17, 0.35, 0.10, 0.16, 0.26, 0.10, 0.26, [Matches](https://fbref.com/en/players/83d074ff/matchlogs/2024-2025/summary/Alexis-Mac-Allister-Match-Logs)  ,Liverpool
[Ibrahima Konaté](https://fbref.com/en/players/5ed9b537/Ibrahima-Konate), [fr FRA](https://fbref.com/en/country/FRA/France-Football), DF,25,31,30," 2,560", 28.4, 1, 2, 3, 1, 0, 0, 5, 0, 1.7, 1.7, 1.0, 2.7, 25, 115, 3, 0.04, 0.07, 0.11, 0.04, 0.11, 0.06, 0.03, 0.10, 0.06, 0.10, [Matches](https://fbref.com/en/players/5ed9b537/matchlogs/2024-2025/summary/Ibrahima-Konate-Match-Logs)  ,Liverpool
[Dominik Szoboszlai](https://fbref.com/en/players/934e1968/Dominik-Szoboszlai), [hu HUN](https://fbref.com/en/country/HUN/Hungary-Football), MF,23,36,29," 2,491", 27.7, 6, 6, 12, 6, 0, 0, 6, 0, 7.3, 7.3, 7.4, 14.7, 72, 131, 127, 0.22, 0.22, 0.43, 0.22, 0.43, 0.27, 0.27, 0.53, 0.27, 0.53, [Matches](https://fbref.com/en/players/934e1968/matchlogs/2024-2025/summary/Dominik-Szoboszlai-Match-Logs)  ,Liverpool
[Andrew Robertson](https://fbref.com/en/players/2e4f5f03/Andrew-Robertson), [sct SCO](https://fbref.com/en/country/SCO/Scotland-Football), DF,30,33,29," 2,482", 27.6, 0, 1, 1, 0, 0, 0, 3, 1, 1.2, 1.2, 4.6, 5.8, 64, 176, 108, 0.00, 0.04, 0.04, 0.00, 0.04, 0.04, 0.17, 0.21, 0.04, 0.21, [Matches](https://fbref.com/en/players/2e4f5f03/matchlogs/2024-2025/summary/Andrew-Robertson-Match-Logs)  ,Liverpool
[Alisson](https://fbref.com/en/players/7a2e46a8/Alisson), [br BRA](https://fbref.com/en/country/BRA/Brazil-Football), GK,31,28,28," 2,508", 27.9, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.6, 0.6, 0, 1, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.02, 0.00, 0.02, [Matches](https://fbref.com/en/players/7a2e46a8/matchlogs/2024-2025/summary/Alisson-Match-Logs)  ,Liverpool
[Luis Díaz](https://fbref.com/en/players/4a1a9578/Luis-Diaz), [co COL](https://fbref.com/en/country/COL/Colombia-Football), FW,27,36,28," 2,399", 26.7, 13, 5, 18, 13, 0, 0, 2, 0, 12.0, 12.0, 5.0, 17.1, 108, 110, 293, 0.49, 0.19, 0.68, 0.49, 0.68, 0.45, 0.19, 0.64, 0.45, 0.64, [Matches](https://fbref.com/en/players/4a1a9578/matchlogs/2024-2025/summary/Luis-Diaz-Match-Logs)  ,Liverpool
[Trent Alexander-Arnold](https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold), [eng ENG](https://fbref.com/en/country/ENG/England-Football), DF,25,33,28," 2,365", 26.3, 3, 6, 9, 3, 0, 0, 5, 0, 1.9, 1.9, 7.3, 9.2, 51, 232, 94, 0.11, 0.23, 0.34, 0.11, 0.34, 0.07, 0.28, 0.35, 0.07, 0.35, [Matches](https://fbref.com/en/players/cd1acf9d/matchlogs/2024-2025/summary/Trent-Alexander-Arnold-Match-Logs)  ,Liverpool
