Date,Venue,Result,GF,GA,Opponent,Team
2024-08-17, Away, W, 2, 0,Ipswich Town,Liverpool
2024-08-25, Home, W, 2, 0,Brentford,Liverpool
2024-09-01, Away, W, 3, 0,Manchester Utd,Liverpool
2024-09-14, Home, L, 0, 1,Nott'ham Forest,Liverpool
2024-09-17, Away, W, 3, 1,Milan,Liverpool
2024-09-21, Home, W, 3, 0,Bournemouth,Liverpool
2024-09-25, Home, W, 5, 1,West Ham,Liverpool
2024-09-28, Away, W, 2, 1,Wolves,Liverpool
2024-10-02, Home, W, 2, 0,Bologna,Liverpool
2024-10-05, Away, W, 1, 0,Crystal Palace,Liverpool
2024-10-20, Home, W, 2, 1,Chelsea,Liverpool
2024-10-23, Away, W, 1, 0,RB Leipzig,Liverpool
2024-10-27, Away, D, 2, 2,Arsenal,Liverpool
2024-10-30, Away, W, 3, 2,Brighton,Liverpool
2024-11-02, Home, W, 2, 1,Brighton,Liverpool
2024-11-05, Home, W, 4, 0,Leverkusen,Liverpool
2024-11-09, Home, W, 2, 0,Aston Villa,Liverpool
2024-11-24, Away, W, 3, 2,Southampton,Liverpool
2024-11-27, Home, W, 2, 0,Real Madrid,Liverpool
2024-12-01, Home, W, 2, 0,Manchester City,Liverpool
2024-12-04, Away, D, 3, 3,Newcastle Utd,Liverpool
2024-12-10, Away, W, 1, 0,Girona,Liverpool
2024-12-14, Home, D, 2, 2,Fulham,Liverpool
2024-12-18, Away, W, 2, 1,Southampton,Liverpool
2024-12-22, Away, W, 6, 3,Tottenham,Liverpool
2024-12-26, Home, W, 3, 1,Leicester City,Liverpool
2024-12-29, Away, W, 5, 0,West Ham,Liverpool
2025-01-05, Home, D, 2, 2,Manchester Utd,Liverpool
2025-01-08, Away, L, 0, 1,Tottenham,Liverpool
2025-01-11, Home, W, 4, 0,Acc'ton Stanley,Liverpool
2025-01-14, Away, D, 1, 1,Nott'ham Forest,Liverpool
2025-01-18, Away, W, 2, 0,Brentford,Liverpool
2025-01-21, Home, W, 2, 1,Lille,Liverpool
2025-01-25, Home, W, 4, 1,Ipswich Town,Liverpool
2025-01-29, Away, L, 2, 3,PSV Eindhoven,Liverpool
2025-02-01, Away, W, 2, 0,Bournemouth,Liverpool
2025-02-06, Home, W, 4, 0,Tottenham,Liverpool
2025-02-09, Away, L, 0, 1,Plymouth Argyle,Liverpool
2025-02-12, Away, D, 2, 2,Everton,Liverpool
2025-02-16, Home, W, 2, 1,Wolves,Liverpool
