Player_name,Player_url,Nation,Pos,Age,MP,Starts,Min,Team
Mohamed Salah,https://fbref.com/en/players/e342ad68/Mohamed-Salah,EGY,FW,32,38,38,3371,Liverpool
Virgil van Dijk,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk,NED,DF,33,37,37,3330,Liverpool
Ryan Gravenberch,https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch,NED,MF,22,37,37,3160,Liverpool
Alexis Mac Allister,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister,ARG,MF,25,35,30,2599,Liverpool
Ibrahima Konaté,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate,FRA,DF,25,31,30,2560,Liverpool
Dominik Szoboszlai,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai,HUN,MF,23,36,29,2491,Liverpool
Andrew Robertson,https://fbref.com/en/players/2e4f5f03/Andrew-Robertson,SCO,DF,30,33,29,2482,Liverpool
Alisson,https://fbref.com/en/players/7a2e46a8/Alisson,BRA,GK,31,28,28,2508,Liverpool
Luis Díaz,https://fbref.com/en/players/4a1a9578/Luis-Diaz,COL,FW,27,36,28,2399,Liverpool
Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,ENG,DF,25,33,28,2365,Liverpool
Cody Gakpo,https://fbref.com/en/players/1971591f/Cody-Gakpo,NED,FW,25,35,23,1935,Liverpool
Curtis Jones,https://fbref.com/en/players/4fb9c88f/Curtis-Jones,ENG,"MF,DF",23,33,19,1712,Liverpool
Diogo Jota,https://fbref.com/en/players/178ae8f8/Diogo-Jota,POR,FW,27,26,14,1196,Liverpool
Caoimhín Kelleher,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher,IRL,GK,25,10,10,900,Liverpool
Kostas Tsimikas,https://fbref.com/en/players/f315ca93/Kostas-Tsimikas,GRE,DF,28,18,9,837,Liverpool
Darwin Núñez,https://fbref.com/en/players/4d77b365/Darwin-Nunez,URU,FW,25,30,8,1133,Liverpool
Conor Bradley,https://fbref.com/en/players/bbd67769/Conor-Bradley,NIR,DF,21,19,7,754,Liverpool
Joe Gomez,https://fbref.com/en/players/7a11550b/Joe-Gomez,ENG,DF,27,9,6,519,Liverpool
Jarell Quansah,https://fbref.com/en/players/4125cb98/Jarell-Quansah,ENG,DF,21,13,4,495,Liverpool
Harvey Elliott,https://fbref.com/en/players/b9e1436c/Harvey-Elliott,ENG,MF,21,18,2,371,Liverpool
Wataru Endo,https://fbref.com/en/players/c149016b/Wataru-Endo,JPN,"MF,DF",31,20,1,273,Liverpool
Federico Chiesa,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,ITA,FW,26,6,1,108,Liverpool
Vitezslav Jaros,https://fbref.com/en/players/12bb4d6a/Vitezslav-Jaros,CZE,GK,23,1,0,12,Liverpool
Jayden Danns,https://fbref.com/en/players/003cf4d1/Jayden-Danns,ENG,MF,18,1,0,11,Liverpool
David Raya,https://fbref.com/en/players/98ea5115/David-Raya,ESP,GK, 28,38,38,3420,Arsenal
William Saliba,https://fbref.com/en/players/972aeb2a/William-Saliba,FRA,DF, 23,35,35,3039,Arsenal
Declan Rice,https://fbref.com/en/players/1c7012b8/Declan-Rice,ENG,MF, 25,35,33,2825,Arsenal
