Rk,Logo,Team,MP,W,D,L,GD,Pts
1,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.822bd0ba.png,Liverpool,38,25,9,4,45,84
2,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.18bb7c10.png,Arsenal,38,20,14,4,35,74
3,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.b8fd03ef.png,Manchester City,38,21,8,9,28,71
4,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.cff3d9bb.png,Chelsea,38,20,9,9,21,69
5,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.b2b47a98.png,Newcastle Utd,38,20,6,12,21,66
6,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.8602292d.png,Aston Villa,38,19,9,10,7,66
7,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.e4a775cb.png,Nott'ham Forest,38,19,8,11,12,65
8,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.d07537b9.png,Brighton,38,16,13,9,7,61
9,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.4ba7cbea.png,Bournemouth,38,15,11,12,12,56
10,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.cd051869.png,Brentford,38,16,8,14,9,56
11,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.fd962109.png,Fulham,38,15,9,14,0,54
12,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.47c64c55.png,Crystal Palace,38,13,14,11,0,53
13,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.d3fd31cc.png,Everton,38,11,15,12,-2,48
14,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.7c21e445.png,West Ham,38,11,10,17,-16,43
15,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.19538871.png,Manchester Utd,38,11,9,18,-10,42
16,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.8cec06e1.png,Wolves,38,12,6,20,-15,42
17,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.361ca564.png,Tottenham,38,11,5,22,-1,38
18,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.a2d435b3.png,Leicester City,38,6,7,25,-47,25
19,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.b74092de.png,Ipswich Town,38,4,10,24,-46,22
20,https://cdn.ssref.net/req/202505152/tlogo/fb/mini.33c895d4.png,Southampton,38,2,6,30,-60,12
